iter	Logloss
0	0.63994587
1	0.6028463501
2	0.5755322895
3	0.5570709353
4	0.5365401828
5	0.5238688869
6	0.510455314
7	0.495315117
8	0.4821973617
9	0.472650867
10	0.4682430024
11	0.463548844
12	0.4564024305
13	0.4529143997
14	0.4496504681
15	0.4450137838
16	0.4386079496
17	0.435933293
18	0.4331451375
19	0.428454623
20	0.4248988489
21	0.4225686641
22	0.4205113984
23	0.4170451067
24	0.4144166613
25	0.4113597689
26	0.4086181972
27	0.4059128574
28	0.4044208087
29	0.4012248273
30	0.4000371677
31	0.3980063616
32	0.3945656185
33	0.3929557645
34	0.3913049995
35	0.3877659957
36	0.3856254174
37	0.3846616913
38	0.3831550257
39	0.3818568071
40	0.3805702241
41	0.3789611568
42	0.377580785
43	0.3757908897
44	0.3730903532
45	0.3714951576
46	0.3703457588
47	0.369194538
48	0.3667872104
49	0.3661200473
50	0.3643859698
51	0.3630542108
52	0.3615991807
53	0.3602617075
54	0.358920756
55	0.3578822474
56	0.3568248982
57	0.3557163689
58	0.355054506
59	0.3542102829
60	0.3536376539
61	0.3529057289
62	0.3516632867
63	0.3509740118
64	0.3504793537
65	0.3497038677
66	0.3491287956
67	0.348301881
68	0.3476905357
69	0.3469372236
70	0.3459975762
71	0.3444116559
72	0.3435234163
73	0.3429223815
74	0.3421216988
75	0.3412387387
76	0.3401181598
77	0.339481949
78	0.3382040202
79	0.3375739792
80	0.3361499222
81	0.3349114344
82	0.333986756
83	0.3331113528
84	0.332104252
85	0.3306303814
86	0.329256552
87	0.3281798033
88	0.3270483962
89	0.3263933241
90	0.3258725377
91	0.325379536
92	0.3239628081
93	0.3232924152
94	0.321937178
95	0.3209086487
96	0.3194843225
97	0.318740969
98	0.3176314666
99	0.3172740341
