iter	Passed	Remaining
0	65	6508
1	68	3367
2	71	2311
3	74	1791
4	78	1492
5	81	1272
6	83	1112
7	86	995
8	89	906
9	93	841
10	96	778
11	98	724
12	101	680
13	104	640
14	107	608
15	110	581
16	113	553
17	116	529
18	118	505
19	122	488
20	127	478
21	130	461
22	133	446
23	136	431
24	140	422
25	145	413
26	148	402
27	152	392
28	156	384
29	161	376
30	165	367
31	170	362
32	174	353
33	177	345
34	180	335
35	184	328
36	188	320
37	191	312
38	194	304
39	198	298
40	202	291
41	206	284
42	209	277
43	212	270
44	218	266
45	221	259
46	224	253
47	227	246
48	232	242
49	236	236
50	239	230
51	242	224
52	246	218
53	250	213
54	253	207
55	257	201
56	261	197
57	264	191
58	268	186
59	271	181
60	275	176
61	279	171
62	282	166
63	286	161
64	290	156
65	294	151
66	298	146
67	301	141
68	304	136
69	310	133
70	314	128
71	318	123
72	325	120
73	328	115
74	332	110
75	338	106
76	344	102
77	348	98
78	351	93
79	358	89
80	365	85
81	370	81
82	374	76
83	378	72
84	381	67
85	384	62
86	389	58
87	393	53
88	396	49
89	400	44
90	405	40
91	408	35
92	412	31
93	416	26
94	422	22
95	426	17
96	430	13
97	436	8
98	441	4
99	444	0
