iter	Passed	Remaining
0	58	58166
1	61	30493
2	63	21223
3	66	16566
4	69	13762
5	71	11900
6	74	10552
7	77	9554
8	79	8755
9	82	8120
10	84	7608
11	87	7196
12	90	6842
13	92	6536
14	95	6276
15	98	6043
16	103	5985
17	106	5811
18	113	5834
19	115	5677
20	118	5537
21	121	5405
22	124	5275
23	126	5151
24	129	5034
25	131	4929
26	134	4844
27	136	4752
28	139	4675
29	142	4596
30	145	4532
31	147	4462
32	150	4406
33	153	4350
34	155	4284
35	157	4226
36	159	4163
37	162	4113
38	164	4065
39	167	4016
40	169	3969
41	172	3937
42	175	3902
43	178	3873
44	180	3841
45	183	3812
46	186	3785
47	189	3751
48	191	3723
49	194	3696
50	199	3718
51	202	3694
52	205	3673
53	208	3648
54	210	3620
55	213	3599
56	216	3577
57	219	3557
58	222	3542
59	224	3524
60	227	3503
61	230	3486
62	233	3469
63	236	3452
64	239	3441
65	242	3425
66	244	3408
67	247	3394
68	250	3377
69	253	3366
70	256	3353
71	258	3336
72	261	3322
73	264	3313
74	267	3299
75	270	3293
76	273	3279
77	276	3266
78	279	3252
79	282	3243
80	284	3231
81	287	3222
82	290	3206
83	293	3200
84	296	3187
85	298	3173
86	301	3161
87	303	3148
88	306	3137
89	309	3126
90	311	3114
91	314	3104
92	317	3093
93	320	3090
94	323	3079
95	328	3097
96	331	3084
97	334	3078
98	337	3068
99	340	3065
100	343	3059
101	346	3048
102	348	3036
103	351	3025
104	353	3013
105	356	3002
106	358	2990
107	360	2978
108	362	2967
109	365	2956
110	367	2945
111	369	2932
112	372	2922
113	374	2912
114	377	2902
115	379	2892
116	382	2883
117	384	2873
118	386	2862
119	389	2854
120	391	2846
121	394	2837
122	396	2829
123	399	2822
124	402	2817
125	405	2812
126	408	2809
127	411	2804
128	414	2798
129	417	2791
130	420	2788
131	423	2782
132	425	2776
133	434	2808
134	437	2804
135	441	2802
136	444	2801
137	447	2796
138	450	2791
139	453	2788
140	456	2783
141	460	2779
142	463	2776
143	466	2770
144	469	2767
145	472	2762
146	475	2758
147	478	2752
148	480	2746
149	483	2740
150	486	2733
151	488	2727
152	491	2721
153	494	2715
154	497	2710
155	499	2704
156	502	2697
157	505	2692
158	508	2687
159	510	2682
160	513	2677
161	516	2672
162	519	2666
163	522	2661
164	528	2673
165	530	2667
166	533	2661
167	536	2655
168	538	2649
169	541	2644
170	544	2638
171	547	2633
172	549	2627
173	552	2621
174	555	2617
175	557	2610
176	560	2607
177	563	2602
178	566	2598
179	569	2594
180	575	2603
181	582	2616
182	584	2611
183	587	2606
184	590	2602
185	593	2598
186	596	2592
187	599	2587
188	601	2583
189	605	2580
190	608	2575
191	610	2570
192	613	2565
193	616	2559
194	618	2554
195	622	2552
196	624	2546
197	627	2540
198	629	2535
199	632	2529
200	635	2526
201	638	2522
202	640	2516
203	643	2511
204	646	2505
205	648	2500
206	652	2500
207	655	2495
208	658	2490
209	660	2486
210	663	2479
211	665	2474
212	668	2469
213	671	2466
214	674	2462
215	677	2457
216	679	2451
217	682	2446
218	685	2443
219	687	2437
220	689	2431
221	692	2427
222	695	2424
223	699	2424
224	702	2419
225	704	2414
226	707	2408
227	709	2403
228	712	2397
229	714	2393
230	717	2389
231	720	2384
232	722	2379
233	725	2374
234	727	2369
235	730	2364
236	732	2359
237	735	2355
238	737	2349
239	740	2344
240	742	2339
241	745	2334
242	747	2330
243	750	2325
244	753	2320
245	755	2315
246	757	2310
247	760	2305
248	762	2300
249	765	2296
250	767	2291
251	770	2286
252	772	2282
253	775	2277
254	777	2272
255	780	2267
256	782	2262
257	785	2257
258	787	2252
259	789	2248
260	792	2243
261	794	2238
262	797	2233
263	799	2228
264	802	2224
265	804	2219
266	806	2215
267	809	2210
268	812	2206
269	816	2206
270	820	2205
271	823	2203
272	825	2199
273	828	2194
274	830	2190
275	833	2185
276	835	2180
277	838	2176
278	840	2172
279	842	2167
280	845	2163
281	847	2158
282	850	2154
