,accuracy,precision,recall,f1-score
GNB,0.7950310559006211,0.844343446645237,0.7950310559006211,0.7879299639831127
KNN,0.9544513457556936,0.9547436365850688,0.9544513457556936,0.954450174276983
LR,0.9337474120082816,0.9337828403644421,0.9337474120082816,0.9337491160357504
SVM,0.9523809523809523,0.9541615704150518,0.9523809523809523,0.9523503211884738
RF,0.9813664596273292,0.9815768149456868,0.9813664596273292,0.9813664596273292
GB,0.9710144927536232,0.9715415743030839,0.9710144927536232,0.9710115107055526
XGB,0.9813664596273292,0.9817766178290763,0.9813664596273292,0.9813653413832705
AdaBoost,0.9751552795031055,0.9756854866035333,0.9751552795031055,0.9751527234619022
LightGBM,0.9813664596273292,0.9815768149456868,0.9813664596273292,0.9813664596273292
CatBoost,0.9875776397515528,0.9877135359421995,0.9875776397515528,0.9875778527476821
Voting,0.9772256728778468,0.9778977336510684,0.9772256728778468,0.9772221582157282
Avg.,0.953698475437606,0.9586181883845577,0.953698475437606,0.9530492801139195
