sys_enter_access sys_exit_access sys_enter_access,sys_enter_close sys_exit_close sys_enter_close,sys_enter_close sys_exit_close sys_enter_openat,sys_enter_epoll_pwait sys_exit_epoll_pwait sys_enter_epoll_pwait,sys_enter_epoll_wait sys_exit_epoll_wait sys_enter_recvmsg,sys_enter_futex sys_enter_futex sys_enter_futex,sys_enter_futex sys_enter_futex sys_exit_futex,sys_enter_futex sys_exit_futex sys_enter_futex,sys_enter_futex sys_exit_futex sys_exit_futex,sys_enter_getegid sys_exit_getegid sys_enter_prctl,sys_enter_geteuid sys_exit_geteuid sys_enter_getgid,sys_enter_getgid sys_exit_getgid sys_enter_getegid,sys_enter_getrusage sys_exit_getrusage sys_enter_getrusage,sys_enter_gettid sys_exit_gettid sys_enter_gettid,sys_enter_getuid sys_exit_getuid sys_enter_geteuid,sys_enter_nanosleep sys_exit_nanosleep sys_enter_nanosleep,sys_enter_newfstat sys_exit_newfstat sys_enter_close,sys_enter_newfstat sys_exit_newfstat sys_enter_read,sys_enter_newfstatat sys_exit_newfstatat sys_enter_newfstatat,sys_enter_openat sys_exit_openat sys_enter_newfstat,sys_enter_openat sys_exit_openat sys_enter_read,sys_enter_poll sys_exit_futex sys_enter_futex,sys_enter_poll sys_exit_poll sys_enter_poll,sys_enter_poll sys_exit_poll sys_enter_read,sys_enter_poll sys_exit_poll sys_enter_recvmsg,sys_enter_prctl sys_exit_prctl sys_enter_newfstatat,sys_enter_read sys_exit_read sys_enter_close,sys_enter_read sys_exit_read sys_enter_poll,sys_enter_read sys_exit_read sys_enter_read,sys_enter_read sys_exit_read sys_enter_write,sys_enter_recvmsg sys_exit_recvmsg sys_enter_poll,sys_enter_recvmsg sys_exit_recvmsg sys_enter_recvmsg,sys_enter_rt_sigaction sys_exit_rt_sigaction sys_enter_rt_sigaction,sys_enter_statfs sys_exit_statfs sys_enter_statfs,sys_enter_write sys_exit_write sys_enter_futex,sys_enter_write sys_exit_write sys_enter_poll,sys_enter_write sys_exit_write sys_enter_write,sys_exit_access sys_enter_access sys_exit_access,sys_exit_close sys_enter_close sys_exit_close,sys_exit_close sys_enter_openat sys_exit_openat,sys_exit_epoll_pwait sys_enter_futex sys_exit_futex,sys_exit_epoll_wait sys_enter_recvmsg sys_exit_recvmsg,sys_exit_futex sys_enter_epoll_pwait sys_exit_epoll_pwait,sys_exit_futex sys_enter_futex sys_enter_futex,sys_exit_futex sys_enter_futex sys_exit_futex,sys_exit_futex sys_enter_write sys_exit_write,sys_exit_futex sys_exit_futex sys_enter_futex,sys_exit_futex sys_exit_futex sys_exit_futex,sys_exit_getegid sys_enter_prctl sys_exit_prctl,sys_exit_geteuid sys_enter_getgid sys_exit_getgid,sys_exit_getgid sys_enter_getegid sys_exit_getegid,sys_exit_getrusage sys_enter_getrusage sys_exit_getrusage,sys_exit_gettid sys_enter_gettid sys_exit_gettid,sys_exit_getuid sys_enter_geteuid sys_exit_geteuid,sys_exit_nanosleep sys_enter_nanosleep sys_exit_nanosleep,sys_exit_newfstat sys_enter_close sys_exit_close,sys_exit_newfstat sys_enter_read sys_exit_read,sys_exit_newfstatat sys_enter_newfstatat sys_exit_newfstatat,sys_exit_openat sys_enter_newfstat sys_exit_newfstat,sys_exit_openat sys_enter_read sys_exit_read,sys_exit_poll sys_enter_poll sys_exit_poll,sys_exit_poll sys_enter_read sys_exit_read,sys_exit_poll sys_enter_recvmsg sys_exit_recvmsg,sys_exit_poll sys_enter_write sys_exit_write,sys_exit_read sys_enter_close sys_exit_close,sys_exit_read sys_enter_poll sys_exit_poll,sys_exit_read sys_enter_read sys_exit_read,sys_exit_read sys_enter_write sys_exit_write,sys_exit_recvmsg sys_enter_recvmsg sys_exit_recvmsg,sys_exit_rt_sigaction sys_enter_rt_sigaction sys_exit_rt_sigaction,sys_exit_statfs sys_enter_statfs sys_exit_statfs,sys_exit_write sys_enter_poll sys_exit_poll,sys_exit_write sys_enter_write sys_exit_write,label
0.0,0.0,34653.0,0.0,0.0,0.0,13075.0,62921.0,13651.0,12830.0,13125.0,13148.0,0.0,0.0,12709.0,15937.0,25833.0,15872.0,0.0,38338.0,0.0,0.0,0.0,0.0,0.0,0.0,15641.0,0.0,20132.0,0.0,0.0,0.0,33485.0,0.0,0.0,0.0,0.0,0.0,12856.0,27931.0,0.0,0.0,0.0,0.0,65189.0,0.0,12391.0,0.0,12238.0,13138.0,13120.0,0.0,0.0,12926.0,15867.0,25840.0,0.0,0.0,47077.0,0.0,0.0,12376.0,0.0,0.0,17284.0,0.0,21967.0,0.0,0.0,33559.0,0.0,0.0,0.0,abnormal
0.0,5774.0,0.0,0.0,5855.0,0.0,7099.0,55326.0,9006.0,0.0,0.0,0.0,6712.0,0.0,0.0,0.0,0.0,5487.0,25674.0,6635.0,0.0,5112.0,6743.0,12173.0,0.0,0.0,5771.0,9203.0,0.0,0.0,0.0,7130.0,0.0,0.0,0.0,10364.0,0.0,0.0,5809.0,0.0,0.0,7404.0,0.0,6311.0,59324.0,0.0,8670.0,0.0,0.0,0.0,0.0,6724.0,0.0,0.0,0.0,0.0,0.0,25714.0,7452.0,0.0,0.0,17394.0,0.0,5326.0,5695.0,6148.0,0.0,0.0,7320.0,0.0,0.0,10340.0,0.0,normal
0.0,0.0,32171.0,0.0,0.0,0.0,0.0,106067.0,0.0,15553.0,15691.0,15774.0,0.0,0.0,15324.0,15910.0,23585.0,19351.0,34458.0,38531.0,0.0,0.0,0.0,0.0,0.0,14705.0,19938.0,0.0,25179.0,0.0,0.0,0.0,34039.0,0.0,0.0,0.0,0.0,0.0,0.0,25283.0,0.0,0.0,0.0,0.0,109826.0,0.0,0.0,0.0,14939.0,15666.0,15861.0,0.0,0.0,15592.0,15701.0,23717.0,14906.0,34495.0,47320.0,0.0,0.0,15159.0,0.0,0.0,21523.0,0.0,27071.0,0.0,0.0,34105.0,0.0,0.0,0.0,abnormal
0.0,0.0,0.0,0.0,0.0,0.0,5009.0,17359.0,6858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5248.0,5974.0,5337.0,0.0,0.0,6255.0,9516.0,4875.0,0.0,5604.0,7810.0,0.0,4500.0,5488.0,7008.0,0.0,0.0,4449.0,8138.0,0.0,0.0,0.0,0.0,0.0,4616.0,0.0,4300.0,20793.0,0.0,6612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4834.0,6028.0,6020.0,0.0,0.0,14125.0,5656.0,0.0,5523.0,5561.0,0.0,4418.0,7178.0,0.0,0.0,8163.0,0.0,normal
0.0,0.0,34502.0,0.0,0.0,0.0,15418.0,85886.0,15835.0,15435.0,15618.0,15677.0,0.0,0.0,15201.0,14827.0,24703.0,19755.0,44569.0,40368.0,0.0,0.0,0.0,0.0,0.0,0.0,20801.0,0.0,27516.0,0.0,0.0,0.0,35312.0,0.0,0.0,0.0,0.0,0.0,0.0,27665.0,0.0,0.0,0.0,0.0,89153.0,0.0,0.0,0.0,14927.0,15588.0,15712.0,0.0,0.0,15506.0,0.0,24491.0,15499.0,44613.0,49386.0,0.0,0.0,16833.0,0.0,0.0,22419.0,0.0,29293.0,0.0,0.0,35384.0,0.0,0.0,0.0,abnormal
9508.0,0.0,0.0,16918.0,0.0,15791.0,41816.0,155951.0,45571.0,0.0,0.0,0.0,0.0,0.0,0.0,20545.0,0.0,8017.0,35467.0,0.0,0.0,0.0,9431.0,15485.0,0.0,0.0,8919.0,10639.0,0.0,0.0,0.0,0.0,0.0,0.0,8174.0,9844.0,7805.0,9519.0,0.0,0.0,8328.0,0.0,8475.0,41219.0,157860.0,0.0,43409.0,16775.0,0.0,0.0,0.0,0.0,0.0,0.0,20498.0,0.0,7585.0,35874.0,0.0,0.0,0.0,22193.0,0.0,0.0,8823.0,0.0,0.0,0.0,0.0,0.0,0.0,9340.0,8406.0,normal
0.0,0.0,33824.0,25639.0,0.0,23670.0,107312.0,576254.0,107945.0,0.0,18289.0,18372.0,0.0,0.0,0.0,0.0,25181.0,20562.0,51222.0,40289.0,0.0,0.0,0.0,20916.0,0.0,0.0,20646.0,0.0,34533.0,0.0,0.0,0.0,34101.0,0.0,0.0,0.0,0.0,0.0,0.0,26731.0,0.0,0.0,0.0,106255.0,576906.0,0.0,106231.0,25998.0,0.0,18260.0,18422.0,0.0,0.0,0.0,0.0,25266.0,0.0,51734.0,49847.0,0.0,0.0,28711.0,0.0,0.0,22665.0,0.0,36482.0,0.0,0.0,34159.0,0.0,0.0,0.0,abnormal
0.0,0.0,0.0,7705.0,0.0,0.0,14793.0,48649.0,18225.0,0.0,0.0,0.0,0.0,0.0,0.0,10242.0,0.0,6984.0,25597.0,6979.0,0.0,0.0,10058.0,12481.0,0.0,0.0,7700.0,10377.0,0.0,0.0,0.0,7707.0,0.0,0.0,7003.0,10239.0,0.0,0.0,0.0,0.0,0.0,7294.0,0.0,13716.0,52876.0,6491.0,17291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10351.0,0.0,6599.0,25663.0,7634.0,0.0,6229.0,18390.0,0.0,0.0,7595.0,7272.0,0.0,0.0,7876.0,0.0,0.0,10124.0,0.0,normal
0.0,0.0,34390.0,19033.0,0.0,0.0,17497.0,103070.0,18187.0,17319.0,17450.0,17545.0,0.0,0.0,17078.0,0.0,25548.0,20590.0,40559.0,41403.0,0.0,0.0,0.0,0.0,0.0,0.0,20863.0,0.0,29420.0,0.0,0.0,0.0,36153.0,0.0,0.0,0.0,0.0,0.0,0.0,27401.0,0.0,0.0,0.0,0.0,105633.0,0.0,17024.0,0.0,16795.0,17472.0,17542.0,0.0,0.0,17302.0,0.0,25452.0,0.0,40605.0,50820.0,0.0,0.0,16805.0,0.0,0.0,22720.0,0.0,31395.0,0.0,0.0,36174.0,0.0,0.0,0.0,abnormal
6741.0,0.0,9928.0,0.0,0.0,0.0,8757.0,80119.0,10573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7116.0,16724.0,7245.0,7252.0,0.0,7932.0,10364.0,0.0,0.0,15814.0,8703.0,10913.0,0.0,0.0,0.0,0.0,14630.0,0.0,8749.0,0.0,6764.0,0.0,9615.0,0.0,0.0,0.0,8119.0,83788.0,0.0,10365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6739.0,16749.0,7921.0,7049.0,0.0,15499.0,0.0,0.0,15946.0,0.0,11536.0,0.0,0.0,0.0,14627.0,8677.0,0.0,normal
0.0,0.0,38995.0,0.0,0.0,0.0,19512.0,129163.0,20292.0,17323.0,17522.0,17536.0,0.0,0.0,17076.0,0.0,24422.0,19812.0,38768.0,39476.0,0.0,0.0,0.0,0.0,0.0,16610.0,27986.0,0.0,37038.0,0.0,0.0,0.0,34409.0,0.0,0.0,0.0,0.0,0.0,0.0,31719.0,0.0,0.0,0.0,19425.0,131730.0,0.0,20442.0,0.0,16865.0,17518.0,17554.0,0.0,0.0,17335.0,0.0,24651.0,0.0,38812.0,48744.0,0.0,0.0,0.0,0.0,0.0,30187.0,0.0,39024.0,0.0,0.0,34467.0,0.0,0.0,0.0,abnormal
20143.0,0.0,0.0,0.0,0.0,21076.0,92276.0,432639.0,99127.0,0.0,0.0,0.0,0.0,124525.0,0.0,0.0,0.0,12392.0,38517.0,12805.0,0.0,10706.0,12151.0,17469.0,0.0,0.0,15281.0,13068.0,10585.0,0.0,0.0,0.0,0.0,0.0,0.0,13075.0,0.0,20207.0,0.0,0.0,0.0,0.0,0.0,91951.0,443678.0,0.0,100669.0,18112.0,0.0,0.0,0.0,0.0,124579.0,0.0,0.0,0.0,11842.0,38584.0,13828.0,0.0,0.0,25068.0,0.0,0.0,15342.0,0.0,11127.0,0.0,9652.0,0.0,0.0,12740.0,0.0,normal
0.0,0.0,30882.0,0.0,0.0,0.0,64823.0,322819.0,68646.0,0.0,15313.0,15359.0,0.0,40838.0,0.0,0.0,22195.0,19281.0,31584.0,37504.0,0.0,0.0,0.0,0.0,0.0,0.0,20638.0,0.0,30662.0,0.0,0.0,0.0,29190.0,0.0,0.0,0.0,0.0,0.0,0.0,24718.0,0.0,0.0,0.0,65370.0,330230.0,0.0,69732.0,0.0,0.0,15246.0,15390.0,0.0,40864.0,15180.0,0.0,22001.0,15307.0,31663.0,45790.0,0.0,0.0,15128.0,0.0,0.0,22306.0,0.0,32258.0,0.0,0.0,29285.0,0.0,0.0,0.0,abnormal
