sys_enter_access sys_exit_access sys_enter_access,sys_enter_close sys_exit_close sys_enter_close,sys_enter_close sys_exit_close sys_enter_openat,sys_enter_epoll_pwait sys_exit_epoll_pwait sys_enter_epoll_pwait,sys_enter_epoll_wait sys_exit_epoll_wait sys_enter_recvmsg,sys_enter_futex sys_enter_futex sys_enter_futex,sys_enter_futex sys_enter_futex sys_exit_futex,sys_enter_futex sys_exit_futex sys_enter_futex,sys_enter_futex sys_exit_futex sys_exit_futex,sys_enter_getegid sys_exit_getegid sys_enter_prctl,sys_enter_geteuid sys_exit_geteuid sys_enter_getgid,sys_enter_getgid sys_exit_getgid sys_enter_getegid,sys_enter_getrusage sys_exit_getrusage sys_enter_getrusage,sys_enter_gettid sys_exit_gettid sys_enter_gettid,sys_enter_getuid sys_exit_getuid sys_enter_geteuid,sys_enter_nanosleep sys_exit_nanosleep sys_enter_nanosleep,sys_enter_newfstat sys_exit_newfstat sys_enter_close,sys_enter_newfstat sys_exit_newfstat sys_enter_read,sys_enter_newfstatat sys_exit_newfstatat sys_enter_newfstatat,sys_enter_openat sys_exit_openat sys_enter_newfstat,sys_enter_openat sys_exit_openat sys_enter_read,sys_enter_poll sys_exit_futex sys_enter_futex,sys_enter_poll sys_exit_poll sys_enter_poll,sys_enter_poll sys_exit_poll sys_enter_read,sys_enter_poll sys_exit_poll sys_enter_recvmsg,sys_enter_prctl sys_exit_prctl sys_enter_newfstatat,sys_enter_read sys_exit_read sys_enter_close,sys_enter_read sys_exit_read sys_enter_poll,sys_enter_read sys_exit_read sys_enter_read,sys_enter_read sys_exit_read sys_enter_write,sys_enter_recvmsg sys_exit_recvmsg sys_enter_poll,sys_enter_recvmsg sys_exit_recvmsg sys_enter_recvmsg,sys_enter_rt_sigaction sys_exit_rt_sigaction sys_enter_rt_sigaction,sys_enter_statfs sys_exit_statfs sys_enter_statfs,sys_enter_write sys_exit_write sys_enter_futex,sys_enter_write sys_exit_write sys_enter_poll,sys_enter_write sys_exit_write sys_enter_write,sys_exit_access sys_enter_access sys_exit_access,sys_exit_close sys_enter_close sys_exit_close,sys_exit_close sys_enter_openat sys_exit_openat,sys_exit_epoll_pwait sys_enter_futex sys_exit_futex,sys_exit_epoll_wait sys_enter_recvmsg sys_exit_recvmsg,sys_exit_futex sys_enter_epoll_pwait sys_exit_epoll_pwait,sys_exit_futex sys_enter_futex sys_enter_futex,sys_exit_futex sys_enter_futex sys_exit_futex,sys_exit_futex sys_enter_write sys_exit_write,sys_exit_futex sys_exit_futex sys_enter_futex,sys_exit_futex sys_exit_futex sys_exit_futex,sys_exit_getegid sys_enter_prctl sys_exit_prctl,sys_exit_geteuid sys_enter_getgid sys_exit_getgid,sys_exit_getgid sys_enter_getegid sys_exit_getegid,sys_exit_getrusage sys_enter_getrusage sys_exit_getrusage,sys_exit_gettid sys_enter_gettid sys_exit_gettid,sys_exit_getuid sys_enter_geteuid sys_exit_geteuid,sys_exit_nanosleep sys_enter_nanosleep sys_exit_nanosleep,sys_exit_newfstat sys_enter_close sys_exit_close,sys_exit_newfstat sys_enter_read sys_exit_read,sys_exit_newfstatat sys_enter_newfstatat sys_exit_newfstatat,sys_exit_openat sys_enter_newfstat sys_exit_newfstat,sys_exit_openat sys_enter_read sys_exit_read,sys_exit_poll sys_enter_poll sys_exit_poll,sys_exit_poll sys_enter_read sys_exit_read,sys_exit_poll sys_enter_recvmsg sys_exit_recvmsg,sys_exit_poll sys_enter_write sys_exit_write,sys_exit_read sys_enter_close sys_exit_close,sys_exit_read sys_enter_poll sys_exit_poll,sys_exit_read sys_enter_read sys_exit_read,sys_exit_read sys_enter_write sys_exit_write,sys_exit_recvmsg sys_enter_recvmsg sys_exit_recvmsg,sys_exit_rt_sigaction sys_enter_rt_sigaction sys_exit_rt_sigaction,sys_exit_statfs sys_enter_statfs sys_exit_statfs,sys_exit_write sys_enter_poll sys_exit_poll,sys_exit_write sys_enter_write sys_exit_write,label
352.0,11579.0,34653.0,11514.0,1348.0,2646.0,13075.0,62921.0,13651.0,12830.0,13125.0,13148.0,11.0,147.0,12709.0,15937.0,25833.0,15872.0,10954.0,38338.0,2279.0,1761.0,5644.0,9784.0,4882.0,11894.0,15641.0,5273.0,20132.0,4371.0,7097.0,8511.0,33485.0,7.0,3354.0,8269.0,4452.0,370.0,12856.0,27931.0,2977.0,2766.0,4364.0,11414.0,65189.0,2596.0,12391.0,3055.0,12238.0,13138.0,13120.0,11.0,143.0,12926.0,15867.0,25840.0,11610.0,11007.0,47077.0,1832.0,3980.0,12376.0,7270.0,5100.0,17284.0,3283.0,21967.0,3631.0,8632.0,33559.0,9.0,8228.0,4567.0,abnormal
2195.0,5774.0,5000.0,1471.0,5855.0,1862.0,7099.0,55326.0,9006.0,226.0,1484.0,1483.0,6712.0,162.0,1464.0,477.0,1588.0,5487.0,25674.0,6635.0,490.0,5112.0,6743.0,12173.0,3786.0,202.0,5771.0,9203.0,2848.0,3455.0,3731.0,7130.0,1081.0,8.0,4761.0,10364.0,4672.0,2217.0,5809.0,4666.0,947.0,7404.0,703.0,6311.0,59324.0,4527.0,8670.0,2035.0,213.0,1481.0,1485.0,6724.0,164.0,1487.0,453.0,1583.0,4884.0,25714.0,7452.0,470.0,3011.0,17394.0,3766.0,5326.0,5695.0,6148.0,3144.0,3365.0,7320.0,1079.0,8.0,10340.0,4740.0,normal
11877.0,10308.0,32171.0,12880.0,962.0,2047.0,13378.0,106067.0,14076.0,15553.0,15691.0,15774.0,6667.0,145.0,15324.0,15910.0,23585.0,19351.0,34458.0,38531.0,3039.0,6704.0,10719.0,10118.0,3209.0,14705.0,19938.0,8074.0,25179.0,4214.0,5842.0,5460.0,34039.0,4.0,5427.0,8076.0,4692.0,11876.0,11586.0,25283.0,3292.0,1703.0,4525.0,12289.0,109826.0,5104.0,13333.0,2410.0,14939.0,15666.0,15861.0,6679.0,148.0,15592.0,15701.0,23717.0,14906.0,34495.0,47320.0,2435.0,7061.0,15159.0,5656.0,4396.0,21523.0,5676.0,27071.0,3482.0,5579.0,34105.0,5.0,7856.0,4953.0,abnormal
341.0,507.0,4058.0,1541.0,3533.0,1664.0,5009.0,17359.0,6858.0,28.0,1286.0,1283.0,0.0,136.0,1279.0,482.0,400.0,5248.0,5974.0,5337.0,509.0,2724.0,6255.0,9516.0,4875.0,28.0,5604.0,7810.0,3510.0,4500.0,5488.0,7008.0,215.0,5.0,4449.0,8138.0,4061.0,366.0,529.0,3847.0,927.0,4616.0,701.0,4300.0,20793.0,4284.0,6612.0,1713.0,29.0,1278.0,1284.0,0.0,135.0,1284.0,404.0,399.0,4834.0,6028.0,6020.0,490.0,3637.0,14125.0,5656.0,3992.0,5523.0,5561.0,3789.0,4418.0,7178.0,216.0,5.0,8163.0,4166.0,normal
11601.0,10883.0,34502.0,12603.0,1011.0,3291.0,15418.0,85886.0,15835.0,15435.0,15618.0,15677.0,16.0,167.0,15201.0,14827.0,24703.0,19755.0,44569.0,40368.0,4193.0,3982.0,11166.0,11537.0,3889.0,14702.0,20801.0,8883.0,27516.0,4646.0,5762.0,6361.0,35312.0,35.0,5774.0,9104.0,5495.0,11601.0,12038.0,27665.0,3204.0,1973.0,4421.0,13731.0,89153.0,5411.0,14556.0,3741.0,14927.0,15588.0,15712.0,17.0,165.0,15506.0,14624.0,24491.0,15499.0,44613.0,49386.0,3663.0,7455.0,16833.0,5671.0,5064.0,22419.0,6178.0,29293.0,3799.0,6510.0,35384.0,36.0,8910.0,5804.0,abnormal
9508.0,184.0,3325.0,16918.0,3398.0,15791.0,41816.0,155951.0,45571.0,33.0,1319.0,1314.0,0.0,122.0,1301.0,20545.0,92.0,8017.0,35467.0,6772.0,1130.0,3435.0,9431.0,15485.0,1692.0,34.0,8919.0,10639.0,6543.0,6096.0,4918.0,4733.0,56.0,5.0,8174.0,9844.0,7805.0,9519.0,212.0,3049.0,8328.0,4094.0,8475.0,41219.0,157860.0,6256.0,43409.0,16775.0,32.0,1316.0,1318.0,0.0,122.0,1316.0,20498.0,81.0,7585.0,35874.0,7529.0,1012.0,6102.0,22193.0,2311.0,4631.0,8823.0,7102.0,6920.0,5418.0,4983.0,56.0,5.0,9340.0,8406.0,normal
11718.0,10756.0,33824.0,25639.0,5032.0,23670.0,107312.0,576254.0,107945.0,18125.0,18289.0,18372.0,1.0,150.0,17929.0,15830.0,25181.0,20562.0,51222.0,40289.0,3386.0,6143.0,12150.0,20916.0,5348.0,17435.0,20646.0,11942.0,34533.0,8343.0,10916.0,10039.0,34101.0,5.0,8974.0,13898.0,11718.0,11737.0,11870.0,26731.0,9795.0,6129.0,11853.0,106255.0,576906.0,6973.0,106231.0,25998.0,17656.0,18260.0,18422.0,1.0,154.0,18126.0,15412.0,25266.0,15918.0,51734.0,49847.0,2660.0,8234.0,28711.0,7435.0,7270.0,22665.0,7286.0,36482.0,7489.0,10291.0,34159.0,6.0,13184.0,12624.0,abnormal
6062.0,431.0,4165.0,7705.0,5948.0,4634.0,14793.0,48649.0,18225.0,30.0,1276.0,1269.0,0.0,170.0,1270.0,10242.0,422.0,6984.0,25597.0,6979.0,756.0,2699.0,10058.0,12481.0,4075.0,29.0,7700.0,10377.0,5140.0,5873.0,4438.0,7707.0,62.0,6.0,7003.0,10239.0,5398.0,6078.0,452.0,3948.0,3637.0,7294.0,3302.0,13716.0,52876.0,6491.0,17291.0,4106.0,29.0,1271.0,1274.0,0.0,171.0,1276.0,10351.0,412.0,6599.0,25663.0,7634.0,763.0,6229.0,18390.0,4187.0,5239.0,7595.0,7272.0,5463.0,5469.0,7876.0,61.0,6.0,10124.0,5608.0,normal
12495.0,11153.0,34390.0,19033.0,3759.0,3051.0,17497.0,103070.0,18187.0,17319.0,17450.0,17545.0,5.0,154.0,17078.0,16419.0,25548.0,20590.0,40559.0,41403.0,3332.0,3718.0,11867.0,11372.0,4060.0,16426.0,20863.0,9092.0,29420.0,6515.0,6071.0,8382.0,36153.0,6.0,7445.0,9396.0,4977.0,12502.0,12344.0,27401.0,6037.0,4982.0,7463.0,16297.0,105633.0,6756.0,17024.0,3507.0,16795.0,17472.0,17542.0,5.0,153.0,17302.0,16114.0,25452.0,15972.0,40605.0,50820.0,2684.0,7989.0,16805.0,6146.0,5352.0,22720.0,6178.0,31395.0,5712.0,8547.0,36174.0,6.0,9233.0,5286.0,abnormal
6741.0,373.0,9928.0,1710.0,2987.0,2284.0,8757.0,80119.0,10573.0,30.0,1277.0,1276.0,1.0,122.0,1265.0,1066.0,424.0,7116.0,16724.0,7245.0,7252.0,6425.0,7932.0,10364.0,3139.0,29.0,15814.0,8703.0,10913.0,2976.0,2999.0,4132.0,164.0,14630.0,4626.0,8749.0,3999.0,6764.0,404.0,9615.0,984.0,3996.0,777.0,8119.0,83788.0,4160.0,10365.0,2440.0,29.0,1267.0,1278.0,1.0,121.0,1278.0,901.0,420.0,6739.0,16749.0,7921.0,7049.0,4351.0,15499.0,3232.0,4215.0,15946.0,5845.0,11536.0,2839.0,4294.0,165.0,14627.0,8677.0,4244.0,normal
