sys_enter_access:,sys_enter_close:,sys_enter_connect:,sys_enter_epoll_ctl:,sys_enter_epoll_pwait:,sys_enter_epoll_wait:,sys_enter_fcntl:,sys_enter_futex:,sys_enter_getdents64:,sys_enter_getegid:,sys_enter_geteuid:,sys_enter_getgid:,sys_enter_getpid:,sys_enter_getrandom:,sys_enter_getrusage:,sys_enter_getsockopt:,sys_enter_gettid:,sys_enter_getuid:,sys_enter_inotify_add_watch:,sys_enter_ioctl:,sys_enter_lseek:,sys_enter_madvise:,sys_enter_mmap:,sys_enter_mprotect:,sys_enter_nanosleep:,sys_enter_newfstat:,sys_enter_newfstatat:,sys_enter_newstat:,sys_enter_openat:,sys_enter_poll:,sys_enter_prctl:,sys_enter_pread64:,sys_enter_pwrite64:,sys_enter_read:,sys_enter_readlink:,sys_enter_readlinkat:,sys_enter_recvfrom:,sys_enter_recvmsg:,sys_enter_rt_sigaction:,sys_enter_rt_sigprocmask:,sys_enter_sched_yield:,sys_enter_select:,sys_enter_sendmsg:,sys_enter_sendto:,sys_enter_setsockopt:,sys_enter_socket:,sys_enter_statfs:,sys_enter_statx:,sys_enter_sysinfo:,sys_enter_timerfd_settime:,sys_enter_write:,label
12832.0,167529.0,1973.0,10478.0,33775.0,14216.0,26027.0,169028.0,1205.0,20161.0,20318.0,20146.0,1385.0,34247.0,247.0,1428.0,4121.0,20197.0,2851.0,7599.0,2273.0,5990.0,29629.0,17268.0,51347.0,138587.0,49642.0,1354.0,169100.0,48200.0,32982.0,2085.0,653.0,138547.0,29271.0,15243.0,1812.0,31582.0,46704.0,17084.0,12861.0,13211.0,11003.0,1348.0,1734.0,2221.0,1012.0,16578.0,1.0,1240.0,42919.0,abnormal
2868.0,20129.0,253.0,1640.0,3753.0,13113.0,2683.0,102584.0,941.0,1784.0,1767.0,1720.0,814.0,905.0,9558.0,2702.0,5592.0,1798.0,3233.0,6387.0,1986.0,4250.0,3014.0,4549.0,2054.0,11849.0,31511.0,0.0,20115.0,45738.0,774.0,409.0,38.0,41564.0,1011.0,465.0,2138.0,30786.0,1286.0,1236.0,1829.0,0.0,12618.0,1533.0,3126.0,1537.0,81.0,1729.0,8.0,2304.0,33529.0,normal
30315.0,167373.0,1930.0,10438.0,36514.0,12649.0,26278.0,229476.0,1077.0,21192.0,21338.0,21183.0,1343.0,34034.0,9648.0,1370.0,3828.0,24474.0,3247.0,6005.0,2215.0,4089.0,28211.0,16551.0,52429.0,138416.0,79031.0,976.0,169973.0,59557.0,33941.0,2021.0,55.0,155529.0,30056.0,14968.0,1620.0,23115.0,47068.0,17184.0,2124.0,13302.0,7023.0,1237.0,1749.0,2228.0,997.0,16325.0,7.0,1123.0,45845.0,abnormal
895.0,10140.0,243.0,1260.0,3790.0,10566.0,1296.0,51127.0,303.0,1358.0,1386.0,1342.0,800.0,541.0,33.0,2658.0,5132.0,1416.0,3200.0,5813.0,2205.0,1868.0,2342.0,3506.0,1616.0,7825.0,8448.0,0.0,8969.0,40867.0,409.0,306.0,102.0,38932.0,637.0,114.0,2067.0,27657.0,327.0,542.0,1150.0,0.0,10539.0,1498.0,3080.0,1521.0,53.0,1077.0,0.0,2153.0,30198.0,normal
30034.0,170865.0,1939.0,10501.0,36109.0,14218.0,26330.0,206380.0,1330.0,20798.0,20965.0,20806.0,1598.0,34385.0,244.0,1461.0,4102.0,23971.0,3267.0,7564.0,2697.0,6199.0,32759.0,18480.0,51207.0,140753.0,89422.0,976.0,173871.0,63811.0,33923.0,2361.0,50.0,161737.0,29894.0,15001.0,1756.0,26638.0,47992.0,17355.0,9749.0,13344.0,8809.0,1296.0,1816.0,2236.0,1076.0,16668.0,0.0,1525.0,50274.0,abnormal
13809.0,19734.0,5228.0,7079.0,43896.0,14391.0,9676.0,342434.0,1383.0,1383.0,1829.0,1392.0,6704.0,1318.0,32.0,2687.0,7519.0,4115.0,3302.0,11382.0,1494.0,1314.0,4353.0,3560.0,47291.0,11007.0,45890.0,2709.0,12840.0,61162.0,319.0,1398.0,8355.0,68548.0,941.0,373.0,6802.0,36774.0,90.0,468.0,982.0,0.0,14392.0,4545.0,5670.0,7157.0,60.0,2764.0,1.0,4857.0,51566.0,normal
31556.0,172386.0,6800.0,15324.0,69987.0,24166.0,26303.0,972135.0,1144.0,22471.0,22622.0,22461.0,5588.0,33834.0,166.0,1379.0,6765.0,25624.0,3209.0,15045.0,3449.0,3436.0,29702.0,18169.0,67686.0,137720.0,102462.0,1882.0,169411.0,96481.0,35079.0,2338.0,71.0,203084.0,31321.0,14850.0,6647.0,60988.0,46450.0,17034.0,4523.0,13158.0,18708.0,4314.0,4294.0,7708.0,1007.0,16412.0,0.0,4991.0,82100.0,abnormal
8969.0,13458.0,317.0,2148.0,18474.0,12905.0,7685.0,125986.0,1392.0,1361.0,1590.0,1345.0,1303.0,2384.0,34.0,2670.0,5461.0,3126.0,3179.0,6375.0,2025.0,5211.0,4019.0,3747.0,18260.0,10446.0,31898.0,1158.0,11968.0,59623.0,521.0,6734.0,4257.0,52794.0,667.0,398.0,8374.0,32084.0,110.0,609.0,3794.0,0.0,12005.0,1571.0,3358.0,1589.0,100.0,2039.0,0.0,2418.0,41468.0,normal
32240.0,175578.0,2066.0,10884.0,51434.0,16778.0,28108.0,240007.0,1112.0,22407.0,22562.0,22391.0,1647.0,35848.0,197.0,1467.0,4270.0,25823.0,3410.0,6479.0,2248.0,4920.0,30038.0,17655.0,57960.0,145404.0,88181.0,1344.0,178193.0,66883.0,35737.0,2413.0,53.0,173670.0,31641.0,15665.0,3276.0,31493.0,49003.0,17922.0,2755.0,13990.0,9118.0,1352.0,2025.0,2375.0,1071.0,17174.0,0.0,1155.0,54156.0,abnormal
9842.0,21854.0,230.0,1228.0,3977.0,8729.0,1188.0,132400.0,2696.0,1363.0,1388.0,1347.0,3250.0,544.0,647.0,2672.0,5083.0,3290.0,3221.0,5995.0,1954.0,571.0,2099.0,3228.0,2478.0,9728.0,24614.0,0.0,21159.0,45718.0,907.0,217.0,125.0,57786.0,581.0,113.0,2085.0,21579.0,218.0,454.0,896.0,0.0,10340.0,1501.0,3062.0,1504.0,15930.0,2133.0,0.0,2226.0,30601.0,normal
32026.0,177287.0,1959.0,10288.0,38192.0,16389.0,25801.0,267841.0,3433.0,21705.0,21854.0,21689.0,3977.0,34065.0,780.0,1393.0,4092.0,25120.0,3221.0,6414.0,2199.0,3195.0,28715.0,17483.0,53327.0,138604.0,87293.0,968.0,179901.0,59096.0,34971.0,2002.0,127.0,182214.0,30638.0,14920.0,1674.0,28392.0,46815.0,17101.0,1388.0,13214.0,8643.0,1259.0,1820.0,2249.0,16892.0,16406.0,0.0,1155.0,47563.0,abnormal
32788.0,24312.0,298.0,3557.0,9331.0,17631.0,3540.0,720551.0,2062.0,1355.0,1384.0,1339.0,2844.0,522.0,2187.0,2717.0,145054.0,7258.0,3179.0,7873.0,3100.0,2600.0,3499.0,5200.0,6805.0,19799.0,50982.0,7275.0,23088.0,78269.0,377.0,2656.0,107.0,78412.0,646.0,393.0,2310.0,40847.0,239.0,521.0,4272.0,0.0,12840.0,1622.0,7131.0,1586.0,116.0,5853.0,4904.0,3387.0,56421.0,normal
35187.0,146296.0,1587.0,10453.0,34873.0,14494.0,23046.0,574683.0,2304.0,18512.0,18641.0,18498.0,1939.0,28498.0,1960.0,1154.0,49253.0,22441.0,2704.0,5606.0,2304.0,1803.0,25378.0,15435.0,46516.0,120842.0,71753.0,6236.0,147522.0,57470.0,29158.0,2443.0,82.0,156132.0,26255.0,12695.0,1531.0,20215.0,39114.0,14331.0,2676.0,11024.0,6987.0,1130.0,4479.0,1834.0,894.0,13916.0,1605.0,960.0,45639.0,abnormal
